
1, 1, 1, 0

2, 2, 2, 0
3, 3, 2, 1

4, 3, 3, 0
5, 4, 3, 1
6, 5, 3, 2

7, 4, 4, 0
8, 5, 4, 1
9, 6, 4, 2

10, 5, 5, 0
11, 6, 5, 1
12, 7, 5, 2
13, 8, 5, 3

14, 6, 6, 0
15, 7, 6, 1
16, 8, 6, 2
17, 9, 6, 3

18, 7, 7, 0
19, 8, 7, 1
20, 9, 7, 2
21, 10, 7, 3

22, 8, 8, 0
23, 9, 8, 1
24, 10, 8, 2
25, 11, 8, 3

26, 9, 9, 0
27, 10, 9, 1
28, 11, 9, 2
29, 12, 9, 3
30, 13, 9, 4

31, 10, 10, 0
32, 11, 10, 1
33, 12, 10, 2
34, 13, 10, 3
35, 14, 10, 4

36, 11, 11, 0
37, 12, 11, 1
38, 13, 11, 2
39, 14, 11, 3
40, 15, 11, 4

41, 12, 12, 0
42, 13, 12, 1
43, 14, 12, 2
44, 15, 12, 3
45, 16, 12, 4

46, 13, 13, 0
47, 14, 13, 1
48, 15, 13, 2
49, 16, 13, 3
50, 17, 13, 4

51, 14, 14, 0
52, 15, 14, 1
53, 16, 14, 2
54, 17, 14, 3
55, 18, 14, 4

56, 15, 15, 0
57, 16, 15, 1
58, 17, 15, 2
59, 18, 15, 3
60, 19, 15, 4

61, 16, 16, 0
62, 17, 16, 1
63, 18, 16, 2
64, 19, 16, 3
65, 20, 16, 4

66, 17, 17, 0
67, 18, 17, 1
68, 19, 17, 2
69, 20, 17, 3
70, 21, 17, 4
71, 22, 17, 5

72, 18, 18, 0
73, 19, 18, 1
74, 20, 18, 2
75, 21, 18, 3
76, 22, 18, 4
77, 23, 18, 5

78, 19, 19, 0
79, 20, 19, 1
80, 21, 19, 2
81, 22, 19, 3
82, 23, 19, 4
83, 24, 19, 5

84, 20, 20, 0
85, 21, 20, 1
86, 22, 20, 2
87, 23, 20, 3
88, 24, 20, 4
89, 25, 20, 5

90, 21, 21, 0
91, 22, 21, 1
92, 23, 21, 2
93, 24, 21, 3
94, 25, 21, 4
95, 26, 21, 5

96, 22, 22, 0
97, 23, 22, 1
98, 24, 22, 2
99, 25, 22, 3
100, 26, 22, 4
101, 27, 22, 5

102, 23, 23, 0
103, 24, 23, 1
104, 25, 23, 2
105, 26, 23, 3
106, 27, 23, 4
107, 28, 23, 5

108, 24, 24, 0
109, 25, 24, 1
110, 26, 24, 2
111, 27, 24, 3
112, 28, 24, 4
113, 29, 24, 5

114, 25, 25, 0
115, 26, 25, 1
116, 27, 25, 2
117, 28, 25, 3
118, 29, 25, 4
119, 30, 25, 5

120, 26, 26, 0
121, 27, 26, 1
122, 28, 26, 2
123, 29, 26, 3
124, 30, 26, 4
125, 31, 26, 5

126, 27, 27, 0
127, 28, 27, 1
128, 29, 27, 2
129, 30, 27, 3
130, 31, 27, 4
131, 32, 27, 5

132, 28, 28, 0
133, 29, 28, 1
134, 30, 28, 2
135, 31, 28, 3
136, 32, 28, 4

137, 29, 29, 0
138, 30, 29, 1
139, 31, 29, 2
140, 32, 29, 3

141, 30, 30, 0
142, 31, 30, 1
143, 32, 30, 2

144, 31, 31, 0
145, 32, 31, 1

146, 32, 32, 0

